"real","predict","lower","upper","error"
11222,10809.558,8184.229,13434.888,-412.442
9442,11137.56,8466.642,13808.477,1695.56
10943,10850.156,8052.238,13648.074,-92.844
10950,11323.972,8247.441,14400.503,373.972
11902,11595.533,8376.395,14814.672,-306.467
12217,11573.094,8205.258,14940.929,-643.906
12242,13450.769,9918.629,16982.909,1208.769
12348,12802.435,9127.792,16477.077,454.435
12178,13542.02,9728.932,17355.107,1364.02
10948,11574.504,7624.573,15524.436,626.504
10113,9679.715,5599.513,13759.917,-433.285
12506,12626.191,8419.642,16832.739,120.191
